id,name,node,time,maxRSS
4427387,ccsd2_12_2n8d,frontier[01103-01104],00:01:10,
4427418,ccsd2_12_2n8d,frontier[07800-07801],00:00:59,
4432168,ccsd2_10_2n8d_diis10,frontier[00402-00403],00:00:40,
4432182,ccsd2_10_2n8d_diis10,frontier[01936,01938],00:08:21,
4432202,ccsd2_10_2n8d_diis6,frontier[00631,00636],00:33:39,
4432521,ccsd2_8_1n4d,frontier00262,00:05:08,
4432583,ccsd2_8_1n4d_diis10,frontier05528,00:01:53,
4432584,ccsd2_8_1n4d_diis8,frontier05789,00:01:58,
4432657,ccsd2_10_1n4d_diis7,frontier[05943-05944],00:08:14,
4432658,ccsd2_10_1n4d_diis8,frontier[06047,06067],00:08:19,
4434649,ccsd2_6_1n4d,frontier02137,00:01:38,
4434714,ccsd2_10_2n8d_diis7,frontier[02111,02114],00:01:22,
4435672,ccsd2_8_1n4d,frontier07436,00:00:31,
4435761,ccsd2_8_1n4d,frontier05763,00:00:30,
4435815,ccsd2_8_1n4d,frontier05764,00:00:28,
4435869,ccsd2_8_1n4d,frontier04744,00:00:29,
4435887,ccsd2_8_1n4d,frontier05509,00:00:30,
4436432,ccsd2_8_1n4d,frontier09451,00:00:29,
4436832,ccsd2_6_1n4d,frontier08235,00:01:19,
4436835,ccsd2_7_1n4d,frontier07184,00:00:53,
4436834,ccsd2_7_1n4d,frontier07183,00:01:16,
4436836,ccsd2_8_1n4d,frontier08511,00:00:44,
4436849,ccsd2_8_1n4d,frontier08511,00:01:36,
4436861,ccsd2_8_1n4d,frontier08235,00:01:07,
4437338,ccsd2_8_1n4d,frontier05896,00:02:06,
4437358,ccsd2_8_1n4d,frontier05385,00:00:44,
4437385,ccsd2_7_1n4d,frontier05385,00:03:18,
4437440,ccsd2_7_1n4d,frontier05512,00:00:33,
4437466,ccsd2_7_1n4d,frontier05512,00:01:31,
4440473,ccsd2_8_1n4d,frontier03692,00:02:16,
